Order Date,Customer Name,State,Category,Sub-Category,Sales,Quantity,Profit,Day,Month,Year
03/01/2021,Darren Powers,Texas,Office Supplies,Paper,16.45,2,6,Sun,Jan,2021
04/01/2021,Phillina Ober,Illinois,Office Supplies,Labels,11.78,3,4.27,Mon,Jan,2021
04/01/2021,Phillina Ober,Illinois,Office Supplies,Storage,272.74,3,-64.77,Mon,Jan,2021
04/01/2021,Phillina Ober,Illinois,Office Supplies,Binders,3.54,2,-5.49,Mon,Jan,2021
05/01/2021,Mick Brown,Pennsylvania,Office Supplies,Art,19.54,3,4.88,Tue,Jan,2021
06/01/2021,Lycoris Saunders,California,Office Supplies,Paper,19.44,3,9.33,Wed,Jan,2021
06/01/2021,Jack O'Briant,Georgia,Office Supplies,Art,12.78,3,5.24,Wed,Jan,2021
06/01/2021,Maria Etezadi,Kentucky,Furniture,Chairs,2573.82,9,746.41,Wed,Jan,2021
06/01/2021,Maria Etezadi,Kentucky,Office Supplies,Binders,609.98,2,274.49,Wed,Jan,2021
06/01/2021,Maria Etezadi,Kentucky,Office Supplies,Art,5.48,2,1.48,Wed,Jan,2021
06/01/2021,Maria Etezadi,Kentucky,Technology,Phones,391.98,2,113.67,Wed,Jan,2021
06/01/2021,Maria Etezadi,Kentucky,Technology,Phones,755.96,4,204.11,Wed,Jan,2021
06/01/2021,Maria Etezadi,Kentucky,Office Supplies,Fasteners,31.12,4,0.31,Wed,Jan,2021
06/01/2021,Maria Etezadi,Kentucky,Office Supplies,Paper,6.54,1,3.01,Wed,Jan,2021
07/01/2021,Vivek Sundaresam,Texas,Furniture,Furnishings,76.73,3,-53.71,Thu,Jan,2021
07/01/2021,Vivek Sundaresam,Texas,Office Supplies,Binders,10.43,7,-18.25,Thu,Jan,2021
09/01/2021,Melanie Seite,Texas,Office Supplies,Art,9.34,2,1.17,Sat,Jan,2021
09/01/2021,Melanie Seite,Texas,Technology,Accessories,31.2,3,9.75,Sat,Jan,2021
10/01/2021,Anthony Jacobs,Virginia,Office Supplies,Labels,2.89,1,1.36,Sun,Jan,2021
10/01/2021,Anthony Jacobs,Virginia,Furniture,Furnishings,51.94,1,21.3,Sun,Jan,2021
11/01/2021,Seth Vernon,Delaware,Furniture,Furnishings,9.94,2,3.08,Mon,Jan,2021
13/01/2021,Chris Selesnick,Louisiana,Office Supplies,Envelopes,11.36,2,5.34,Wed,Jan,2021
13/01/2021,Chris Selesnick,Louisiana,Office Supplies,Envelopes,50.94,3,25.47,Wed,Jan,2021
13/01/2021,Chris Selesnick,Louisiana,Technology,Accessories,646.74,6,258.7,Wed,Jan,2021
13/01/2021,Chris Selesnick,Louisiana,Office Supplies,Binders,5.64,3,2.71,Wed,Jan,2021
13/01/2021,Chris Selesnick,Louisiana,Office Supplies,Storage,572.58,6,34.35,Wed,Jan,2021
13/01/2021,Natalie DeCherney,South Carolina,Furniture,Chairs,545.94,6,87.35,Wed,Jan,2021
